name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,autotuning_time(s),exe_time_hyb(ms),exe_time_naive(ms),speed_to_naive
mbeacxc,496,496,49920,100.6451613,0,484,126.6202217,0.2029136316,0.0,0.9758064516,0.255282705,32,2,8,14.4396647,0.00861184,0.039363,4.5708
rajat13,7598,7598,48922,6.438799684,1,5412,69.14659061,0.0008474334936,0.0001316135825,0.7122927086,0.009100630509,256,2,16,108.4693048,0.0496128,0.66346,13.3728
ex24,2283,2283,48737,21.347788,9,46,8.423988449,0.009350761278,0.00394218134,0.02014892685,0.003689876675,64,2,8,56.84097743,0.0101478,0.012022,1.18469
mhd1280a,1280,1280,47906,37.4265625,1,56,14.1849694,0.02923950195,0.00078125,0.04375,0.01108200735,64,4,16,72.10740587,0.00954368,0.012554,1.31543
kineticBatchReactor_2,4361,4361,44840,10.2820454,1,1166,33.03590524,0.002357726531,0.0002293052052,0.2673698693,0.007575305031,128,2,8,20.10531399,0.0205517,0.114944,5.59292
G1,800,800,38352,47.94,27,67,6.316557607,0.059925,0.03375,0.08375,0.007895697008,256,2,8,9.392825801,0.0179507,0.019958,1.11182
G6,800,800,38352,47.94,27,67,6.316557607,0.059925,0.03375,0.08375,0.007895697008,256,2,8,9.98750002,0.0178688,0.019937,1.11574
G7,800,800,38352,47.94,28,66,6.517008516,0.059925,0.035,0.0825,0.008146260645,512,2,8,28.49847107,0.0308838,0.03541,1.14656
G2,800,800,38352,47.94,28,66,6.517008516,0.059925,0.035,0.0825,0.008146260645,512,2,8,21.74950923,0.030679,0.035174,1.14652
G10,800,800,38352,47.94,30,70,6.647849276,0.059925,0.0375,0.0875,0.008309811595,256,2,8,9.210885554,0.0180531,0.020163,1.11687
Chebyshev3,4101,4101,36879,8.992684711,3,4101,127.8440129,0.002192802904,0.0007315288954,1.0,0.03117386318,32,4,16,245.9087071,0.0101274,0.253911,25.0717
circuit_1,2624,2624,35823,13.65205793,1,2571,72.86616252,0.005202765978,0.000381097561,0.9798018293,0.02776911681,128,2,8,57.37738681,0.0168038,0.233861,13.9171
msc00726,726,726,34518,47.54545455,22,88,18.51832537,0.06548960681,0.0303030303,0.1212121212,0.02550733523,32,2,8,10.28996967,0.00745472,0.011817,1.58517
cavity09,1182,1182,32747,27.70473773,8,62,14.45384607,0.02343886441,0.006768189509,0.0524534687,0.01222829617,32,4,8,68.7057068,0.0075264,0.010342,1.3741
cavity05,1182,1182,32747,27.70473773,8,62,14.45384607,0.02343886441,0.006768189509,0.0524534687,0.01222829617,32,4,8,68.61693162,0.00748544,0.010301,1.37614
cavity07,1182,1182,32747,27.70473773,8,62,14.45384607,0.02343886441,0.006768189509,0.0524534687,0.01222829617,32,4,8,27.16565361,0.00768,0.010342,1.34661
ex4,1601,1601,32299,20.17426608,7,37,7.767642962,0.01260104065,0.004372267333,0.0231105559,0.004851744511,64,2,8,60.17197535,0.00859136,0.010445,1.21576
p2p-Gnutella05,8846,8846,31839,3.5992539,0,65,4.81402206,0.0004068792562,0.0,0.007347953877,0.0005442032625,128,2,4,20.25677465,0.0185344,0.023409,1.263
spaceShuttleEntry_3,1834,1834,28757,15.67993457,2,1700,39.71907294,0.008549582644,0.001090512541,0.9269356598,0.02165707358,512,2,16,93.59270252,0.0316109,0.193157,6.11046
ex2,441,441,26839,60.85941043,28,125,25.59165129,0.1380031983,0.06349206349,0.283446712,0.0580309553,32,2,16,29.09550943,0.00692224,0.013824,1.99704
TSOPF_FS_b9_c1,2454,2454,25032,10.200489,1,1210,42.76572979,0.004156678483,0.0004074979625,0.4930725346,0.01742694775,256,4,8,157.1754344,0.0193229,0.130468,6.75199
airfoil1,4253,4253,24578,5.778979544,3,9,0.7067310604,0.001358800739,0.0007053844345,0.002116153304,0.0001661723631,32,2,8,31.93491239,0.00775168,0.008663,1.11756
bcsstm34,588,588,24270,41.2755102,12,54,10.86429646,0.07019644593,0.02040816327,0.09183673469,0.01847669467,32,2,8,20.82322552,0.0067584,0.009646,1.42726
