name,num_rows,num_cols,nnz,avg_nnz_per_row,min_nnz_per_row,max_nnz_per_row,std_dev_nnz_per_row,avg_nnz_density_per_row,min_nnz_density_per_row,max_nnz_density_per_row,std_dev_nnz_density_per_row,K,best_num_partitions,best_max_bucket_width,exe_time_hyb,exe_time_naive,speed_to_naive
SiO,33401,33401,1317655,39.449567378222206,7,584,58.020426128182,0.0011810894098446,0.0002095745636358,0.0174845064519026,0.001737086498254,32,2,16,0.0851968,0.09346,1.09699
SiO,33401,33401,1317655,39.449567378222206,7,584,58.020426128182,0.0011810894098446,0.0002095745636358,0.0174845064519026,0.001737086498254,64,1,16,0.118364,0.134656,1.13764
SiO,33401,33401,1317655,39.449567378222206,7,584,58.020426128182,0.0011810894098446,0.0002095745636358,0.0174845064519026,0.001737086498254,128,4,16,0.249068,0.250204,1.00456
SiO,33401,33401,1317655,39.449567378222206,7,584,58.020426128182,0.0011810894098446,0.0002095745636358,0.0174845064519026,0.001737086498254,256,2,16,0.461189,0.420372,0.911496
SiO,33401,33401,1317655,39.449567378222206,7,584,58.020426128182,0.0011810894098446,0.0002095745636358,0.0174845064519026,0.001737086498254,512,4,64,0.922051,0.786217,0.852683
rail_5177,5177,5177,35185,6.796407185628743,3,11,1.942351168393205,0.0013128080327658,0.0005794861889124,0.0021247826926791,0.0003751885587006,32,1,4,0.0096768,0.009052,0.935433
rail_5177,5177,5177,35185,6.796407185628743,3,11,1.942351168393205,0.0013128080327658,0.0005794861889124,0.0021247826926791,0.0003751885587006,64,1,8,0.0115098,0.010844,0.942154
rail_5177,5177,5177,35185,6.796407185628743,3,11,1.942351168393205,0.0013128080327658,0.0005794861889124,0.0021247826926791,0.0003751885587006,128,1,8,0.0165376,0.015012,0.90775
rail_5177,5177,5177,35185,6.796407185628743,3,11,1.942351168393205,0.0013128080327658,0.0005794861889124,0.0021247826926791,0.0003751885587006,256,1,8,0.0271155,0.023665,0.872748
rail_5177,5177,5177,35185,6.796407185628743,3,11,1.942351168393205,0.0013128080327658,0.0005794861889124,0.0021247826926791,0.0003751885587006,512,1,8,0.0475648,0.039782,0.836375
torsion1,40000,40000,197608,4.9402,1,5,0.4197903762593897,0.000123505,2.5e-05,0.000125,1.0494759406484744e-05,32,1,16,0.0287744,0.029327,1.0192
torsion1,40000,40000,197608,4.9402,1,5,0.4197903762593897,0.000123505,2.5e-05,0.000125,1.0494759406484744e-05,64,1,8,0.047831,0.039025,0.815893
torsion1,40000,40000,197608,4.9402,1,5,0.4197903762593897,0.000123505,2.5e-05,0.000125,1.0494759406484744e-05,128,1,8,0.0891392,0.07508,0.842278
torsion1,40000,40000,197608,4.9402,1,5,0.4197903762593897,0.000123505,2.5e-05,0.000125,1.0494759406484744e-05,256,1,8,0.169882,0.134554,0.792044
torsion1,40000,40000,197608,4.9402,1,5,0.4197903762593897,0.000123505,2.5e-05,0.000125,1.0494759406484744e-05,512,1,8,0.332892,0.255181,0.766558
coupled,11341,11341,98523,8.687329159686096,1,3090,30.09194280089796,0.0007660108596848,8.817564588660612e-05,0.2724627457896129,0.0026533764924519,32,1,16,0.0151142,0.197222,13.0488
coupled,11341,11341,98523,8.687329159686096,1,3090,30.09194280089796,0.0007660108596848,8.817564588660612e-05,0.2724627457896129,0.0026533764924519,64,1,16,0.0231424,0.286556,12.3823
coupled,11341,11341,98523,8.687329159686096,1,3090,30.09194280089796,0.0007660108596848,8.817564588660612e-05,0.2724627457896129,0.0026533764924519,128,1,8,0.0395878,0.371579,9.3862
coupled,11341,11341,98523,8.687329159686096,1,3090,30.09194280089796,0.0007660108596848,8.817564588660612e-05,0.2724627457896129,0.0026533764924519,256,1,8,0.0708506,0.401838,5.67162
coupled,11341,11341,98523,8.687329159686096,1,3090,30.09194280089796,0.0007660108596848,8.817564588660612e-05,0.2724627457896129,0.0026533764924519,512,1,8,0.131492,0.453857,3.45159
LFAT5,14,14,46,3.2857142857142856,2,5,1.0301575072754254,0.2346938775510204,0.1428571428571428,0.3571428571428571,0.0735826790911018,32,1,2,0.00514048,0.005786,1.12558
LFAT5,14,14,46,3.2857142857142856,2,5,1.0301575072754254,0.2346938775510204,0.1428571428571428,0.3571428571428571,0.0735826790911018,64,1,2,0.00515072,0.005693,1.10528
LFAT5,14,14,46,3.2857142857142856,2,5,1.0301575072754254,0.2346938775510204,0.1428571428571428,0.3571428571428571,0.0735826790911018,128,1,1,0.00507904,0.005765,1.13506
LFAT5,14,14,46,3.2857142857142856,2,5,1.0301575072754254,0.2346938775510204,0.1428571428571428,0.3571428571428571,0.0735826790911018,256,1,1,0.00508928,0.005755,1.13081
LFAT5,14,14,46,3.2857142857142856,2,5,1.0301575072754254,0.2346938775510204,0.1428571428571428,0.3571428571428571,0.0735826790911018,512,1,1,0.00519168,0.006052,1.16571
ML_Geer,1504002,1504002,110879972,73.72328760201117,26,74,2.5068749051426407,4.901807816878646e-05,1.7287211054240618e-05,4.920206223130023e-05,1.666802906606934e-06,32,8,16,5.75739,4.80169,0.834005
ML_Geer,1504002,1504002,110879972,73.72328760201117,26,74,2.5068749051426407,4.901807816878646e-05,1.7287211054240618e-05,4.920206223130023e-05,1.666802906606934e-06,64,2,16,8.00836,6.62188,0.826871
ML_Geer,1504002,1504002,110879972,73.72328760201117,26,74,2.5068749051426407,4.901807816878646e-05,1.7287211054240618e-05,4.920206223130023e-05,1.666802906606934e-06,128,4,16,16.5509,13.353011,0.806785
ML_Geer,1504002,1504002,110879972,73.72328760201117,26,74,2.5068749051426407,4.901807816878646e-05,1.7287211054240618e-05,4.920206223130023e-05,1.666802906606934e-06,256,4,16,32.472,26.915092,0.828871
ML_Geer,1504002,1504002,110879972,73.72328760201117,26,74,2.5068749051426407,4.901807816878646e-05,1.7287211054240618e-05,4.920206223130023e-05,1.666802906606934e-06,512,2,16,65.7688,53.904415,0.819605
adder_dcop_45,1813,1813,11246,6.202978488692774,1,1310,30.77714949450744,0.0034213891277952,0.0005515719801434,0.7225592939878654,0.0169758132898551,32,1,8,0.0074752,0.076841,10.2795
adder_dcop_45,1813,1813,11246,6.202978488692774,1,1310,30.77714949450744,0.0034213891277952,0.0005515719801434,0.7225592939878654,0.0169758132898551,64,1,8,0.00997376,0.118712,11.9024
